Job_ID,Order_ID,Job_Status,Start_Time,Estimated_End_Time,Actual_End_Time,Resources_Available,Dependencies,Location,Delay_Flag,Delay_Reason
J1018,O5470,Completed,2025-07-15 01:00:00,2025-07-15 10:00:00,2025-07-15 09:41:00,Yes,,Hyderabad,0,
J1019,O5363,Completed,2025-07-16 03:00:00,2025-07-16 10:00:00,2025-07-16 09:51:00,Yes,,Bengaluru,0,
J1020,O5315,Not_Started,2025-07-30 05:00:00,2025-07-30 14:00:00,,Yes,J1010,Pune,0,
J1021,O5403,Completed,2025-07-15 07:00:00,2025-07-15 13:00:00,2025-07-15 12:56:00,Yes,,Pune,0,
J1022,O5179,Not_Started,2025-07-15 02:00:00,2025-07-15 10:00:00,,Yes,,Bengaluru,0,
J1023,O5309,In_Progress,2025-07-05 08:00:00,2025-07-05 14:00:00,,Yes,,Chennai,0,
J1024,O5365,In_Progress,2025-07-11 08:00:00,2025-07-11 19:00:00,,No,J1009,Delhi,0,
J1025,O5272,Completed,2025-07-13 06:00:00,2025-07-13 13:00:00,2025-07-13 12:21:00,No,J1005,Bengaluru,0,
J1026,O5498,In_Progress,2025-07-13 01:00:00,2025-07-13 09:00:00,,Yes,J1022,Bengaluru,0,
J1027,O5302,In_Progress,2025-07-26 06:00:00,2025-07-26 16:00:00,,Yes,,Bengaluru,0,
J1028,O5278,Completed,2025-07-08 02:00:00,2025-07-08 13:00:00,2025-07-08 12:18:00,Yes,J1022,Hyderabad,0,
J1029,O5293,Completed,2025-07-04 07:00:00,2025-07-04 15:00:00,2025-07-04 17:22:00,No,,Bengaluru,1,Resource shortage
J1030,O5090,Completed,2025-07-31 06:00:00,2025-07-31 12:00:00,2025-07-31 11:22:00,Yes,J1026,Pune,0,
J1031,O5305,Completed,2025-07-11 07:00:00,2025-07-11 18:00:00,2025-07-11 20:49:00,Yes,J1026,Bengaluru,1,Resource shortage
J1032,O5071,In_Progress,2025-07-29 00:00:00,2025-07-29 12:00:00,,Yes,J1009,Chennai,0,
J1033,O5231,Completed,2025-07-10 06:00:00,2025-07-10 16:00:00,2025-07-10 15:24:00,Yes,,Chennai,0,
J1034,O5105,Completed,2025-07-29 05:00:00,2025-07-29 13:00:00,2025-07-29 15:25:00,Yes,,Hyderabad,1,Dependency delay
J1035,O5479,In_Progress,2025-07-23 05:00:00,2025-07-23 11:00:00,,Yes,,Bengaluru,0,
J1036,O5313,In_Progress,2025-07-13 02:00:00,2025-07-13 14:00:00,,Yes,J1023,Chennai,0,
J1037,O5461,Completed,2025-07-31 00:00:00,2025-07-31 06:00:00,2025-07-31 09:00:00,Yes,,Chennai,1,Power outage
J1038,O5183,In_Progress,2025-07-28 04:00:00,2025-07-28 16:00:00,,Yes,J1027,Delhi,0,
J1039,O5359,Completed,2025-07-13 05:00:00,2025-07-13 16:00:00,2025-07-13 17:37:00,Yes,,Chennai,1,Traffic
J1040,O5279,Completed,2025-07-22 02:00:00,2025-07-22 11:00:00,2025-07-22 11:35:00,No,,Mumbai,1,Equipment failure
J1041,O5431,Not_Started,2025-07-27 06:00:00,2025-07-27 13:00:00,,Yes,J1008,Pune,0,
J1042,O5068,Completed,2025-07-03 00:00:00,2025-07-03 07:00:00,2025-07-03 06:14:00,Yes,,Delhi,0,
J1043,O5336,In_Progress,2025-07-05 01:00:00,2025-07-05 08:00:00,,Yes,,Bengaluru,0,
J1044,O5212,Completed,2025-07-29 06:00:00,2025-07-29 16:00:00,2025-07-29 15:49:00,Yes,,Bengaluru,0,
J1045,O5217,Completed,2025-07-27 07:00:00,2025-07-27 16:00:00,2025-07-27 15:38:00,No,J1027,Chennai,0,
J1046,O5309,In_Progress,2025-07-19 07:00:00,2025-07-19 19:00:00,,No,,Delhi,0,
J1047,O5364,Not_Started,2025-07-09 06:00:00,2025-07-09 16:00:00,,Yes,,Chennai,0,
J1048,O5017,In_Progress,2025-07-19 07:00:00,2025-07-19 18:00:00,,Yes,,Delhi,0,
J1049,O5297,Completed,2025-07-31 01:00:00,2025-07-31 08:00:00,2025-07-31 07:14:00,Yes,,Bengaluru,0,
J1050,O5439,Not_Started,2025-07-15 08:00:00,2025-07-15 14:00:00,,Yes,,Pune,0,
J1051,O5312,Completed,2025-07-08 07:00:00,2025-07-08 18:00:00,2025-07-08 17:13:00,Yes,,Delhi,0,
J1052,O5342,Completed,2025-07-22 08:00:00,2025-07-22 20:00:00,2025-07-22 19:23:00,Yes,,Delhi,0,
J1053,O5027,Not_Started,2025-07-18 00:00:00,2025-07-18 09:00:00,,Yes,,Pune,0,
J1054,O5463,Completed,2025-07-19 05:00:00,2025-07-19 14:00:00,2025-07-19 15:30:00,Yes,J1002,Bengaluru,1,Dependency delay
J1055,O5355,Completed,2025-07-24 04:00:00,2025-07-24 15:00:00,2025-07-24 14:10:00,Yes,,Chennai,0,
J1056,O5031,In_Progress,2025-07-16 02:00:00,2025-07-16 12:00:00,,Yes,J1018,Hyderabad,0,
J1057,O5414,In_Progress,2025-07-20 00:00:00,2025-07-20 08:00:00,,Yes,,Hyderabad,0,
J1058,O5064,Not_Started,2025-07-03 04:00:00,2025-07-03 12:00:00,,Yes,J1017,Chennai,0,
J1059,O5140,In_Progress,2025-07-01 01:00:00,2025-07-01 11:00:00,,No,J1037,Pune,0,
J1060,O5378,Completed,2025-07-22 07:00:00,2025-07-22 15:00:00,2025-07-22 15:44:00,Yes,,Mumbai,1,Dependency delay
J1061,O5120,In_Progress,2025-07-06 08:00:00,2025-07-06 20:00:00,,No,J1005,Bengaluru,0,
J1062,O5495,In_Progress,2025-07-20 02:00:00,2025-07-20 14:00:00,,Yes,,Mumbai,0,
J1063,O5211,Completed,2025-07-08 07:00:00,2025-07-08 18:00:00,2025-07-08 20:43:00,Yes,J1046,Bengaluru,1,Equipment failure
J1064,O5431,Completed,2025-07-02 04:00:00,2025-07-02 16:00:00,2025-07-02 15:08:00,Yes,J1021,Pune,0,
J1065,O5237,Completed,2025-07-16 04:00:00,2025-07-16 13:00:00,2025-07-16 12:13:00,Yes,,Bengaluru,0,
J1066,O5472,Not_Started,2025-07-08 06:00:00,2025-07-08 17:00:00,,No,,Chennai,0,
J1067,O5242,In_Progress,2025-07-05 08:00:00,2025-07-05 20:00:00,,Yes,,Pune,0,
J1068,O5147,Not_Started,2025-07-13 05:00:00,2025-07-13 15:00:00,,Yes,,Bengaluru,0,
J1069,O5021,Completed,2025-07-30 08:00:00,2025-07-30 19:00:00,2025-07-30 20:30:00,No,,Delhi,1,Traffic
J1070,O5333,Not_Started,2025-07-11 04:00:00,2025-07-11 12:00:00,,Yes,,Pune,0,
J1071,O5130,In_Progress,2025-07-19 06:00:00,2025-07-19 15:00:00,,Yes,,Hyderabad,0,
J1072,O5383,Not_Started,2025-07-24 03:00:00,2025-07-24 13:00:00,,Yes,,Mumbai,0,
J1073,O5353,In_Progress,2025-07-11 08:00:00,2025-07-11 14:00:00,,Yes,,Mumbai,0,
J1074,O5425,Completed,2025-07-01 06:00:00,2025-07-01 12:00:00,2025-07-01 11:27:00,Yes,J1057,Delhi,0,
J1075,O5179,In_Progress,2025-07-24 04:00:00,2025-07-24 12:00:00,,No,J1003,Mumbai,0,
J1076,O5317,Completed,2025-07-02 03:00:00,2025-07-02 13:00:00,2025-07-02 12:20:00,Yes,J1015,Delhi,0,
J1077,O5044,Completed,2025-07-05 06:00:00,2025-07-05 17:00:00,2025-07-05 16:12:00,Yes,,Chennai,0,
J1078,O5289,Completed,2025-07-29 01:00:00,2025-07-29 12:00:00,2025-07-29 12:47:00,Yes,J1009,Mumbai,1,Dependency delay
J1079,O5327,Completed,2025-07-30 04:00:00,2025-07-30 16:00:00,2025-07-30 15:33:00,Yes,,Bengaluru,0,
J1080,O5341,In_Progress,2025-07-09 02:00:00,2025-07-09 14:00:00,,Yes,J1007,Pune,0,
J1081,O5195,In_Progress,2025-07-11 00:00:00,2025-07-11 08:00:00,,Yes,,Bengaluru,0,
J1082,O5135,Completed,2025-07-15 01:00:00,2025-07-15 10:00:00,2025-07-15 09:01:00,Yes,J1050,Mumbai,0,
J1083,O5091,Not_Started,2025-07-16 01:00:00,2025-07-16 08:00:00,,Yes,,Hyderabad,0,
J1084,O5220,Completed,2025-07-20 01:00:00,2025-07-20 10:00:00,2025-07-20 09:15:00,No,J1004,Mumbai,0,
J1085,O5037,Not_Started,2025-07-19 04:00:00,2025-07-19 16:00:00,,No,,Delhi,0,
J1086,O5459,Completed,2025-07-05 00:00:00,2025-07-05 06:00:00,2025-07-05 05:18:00,Yes,,Bengaluru,0,
J1087,O5077,In_Progress,2025-07-11 06:00:00,2025-07-11 16:00:00,,Yes,J1062,Hyderabad,0,
J1088,O5244,Not_Started,2025-07-13 01:00:00,2025-07-13 11:00:00,,Yes,J1049,Bengaluru,0,
J1089,O5488,In_Progress,2025-07-27 07:00:00,2025-07-27 13:00:00,,Yes,,Hyderabad,0,
J1090,O5478,Completed,2025-07-11 04:00:00,2025-07-11 13:00:00,2025-07-11 12:57:00,Yes,,Pune,0,
J1091,O5490,Completed,2025-07-03 05:00:00,2025-07-03 15:00:00,2025-07-03 14:06:00,Yes,,Hyderabad,0,
J1092,O5041,Completed,2025-07-25 04:00:00,2025-07-25 15:00:00,2025-07-25 14:48:00,No,J1005,Bengaluru,0,
J1093,O5495,Not_Started,2025-07-22 03:00:00,2025-07-22 11:00:00,,Yes,,Bengaluru,0,
J1094,O5458,In_Progress,2025-07-21 05:00:00,2025-07-21 14:00:00,,Yes,J1080,Delhi,0,
J1095,O5224,Not_Started,2025-07-07 02:00:00,2025-07-07 08:00:00,,Yes,J1092,Hyderabad,0,
J1096,O5303,Completed,2025-07-16 06:00:00,2025-07-16 12:00:00,2025-07-16 11:10:00,Yes,,Mumbai,0,
J1097,O5157,Completed,2025-07-18 07:00:00,2025-07-18 13:00:00,2025-07-18 12:58:00,Yes,,Bengaluru,0,
J1098,O5172,Completed,2025-07-02 06:00:00,2025-07-02 12:00:00,2025-07-02 12:54:00,Yes,,Hyderabad,1,Power outage
J1099,O5347,Completed,2025-07-05 03:00:00,2025-07-05 09:00:00,2025-07-05 09:09:00,Yes,,Chennai,1,Equipment failure
J1100,O5009,Completed,2025-07-30 00:00:00,2025-07-30 07:00:00,2025-07-30 06:16:00,Yes,,Bengaluru,0,
J1101,O5007,Not_Started,2025-07-21 00:00:00,2025-07-21 08:00:00,,Yes,,Mumbai,0,
J1102,O5049,Completed,2025-07-20 02:00:00,2025-07-20 14:00:00,2025-07-20 13:23:00,Yes,J1013,Bengaluru,0,
J1103,O5058,Completed,2025-07-20 03:00:00,2025-07-20 09:00:00,2025-07-20 08:09:00,Yes,J1043,Bengaluru,0,
J1104,O5415,Completed,2025-07-22 06:00:00,2025-07-22 14:00:00,2025-07-22 13:53:00,Yes,,Hyderabad,0,
J1105,O5294,In_Progress,2025-07-05 05:00:00,2025-07-05 17:00:00,,No,,Chennai,0,
J1106,O5109,In_Progress,2025-07-19 02:00:00,2025-07-19 10:00:00,,Yes,J1035,Delhi,0,
J1107,O5072,In_Progress,2025-07-06 05:00:00,2025-07-06 15:00:00,,Yes,J1031,Bengaluru,0,
J1108,O5473,Not_Started,2025-07-02 02:00:00,2025-07-02 08:00:00,,Yes,,Chennai,0,
J1109,O5323,In_Progress,2025-07-13 02:00:00,2025-07-13 08:00:00,,Yes,,Chennai,0,
J1110,O5041,Completed,2025-07-01 02:00:00,2025-07-01 08:00:00,2025-07-01 07:15:00,Yes,,Delhi,0,
J1111,O5454,Completed,2025-07-14 07:00:00,2025-07-14 18:00:00,2025-07-14 18:32:00,No,J1034,Pune,1,Equipment failure
J1112,O5267,Not_Started,2025-07-14 03:00:00,2025-07-14 10:00:00,,No,,Bengaluru,0,
J1113,O5019,Completed,2025-07-06 07:00:00,2025-07-06 17:00:00,2025-07-06 16:00:00,No,J1105,Chennai,0,
J1114,O5400,Completed,2025-07-12 06:00:00,2025-07-12 12:00:00,2025-07-12 14:22:00,Yes,J1067,Pune,1,Equipment failure
J1115,O5500,Completed,2025-07-20 05:00:00,2025-07-20 17:00:00,2025-07-20 19:18:00,Yes,J1098,Delhi,1,Power outage
J1116,O5320,Completed,2025-07-07 04:00:00,2025-07-07 10:00:00,2025-07-07 10:49:00,Yes,,Hyderabad,1,Resource shortage
J1117,O5350,Completed,2025-07-16 02:00:00,2025-07-16 09:00:00,2025-07-16 08:18:00,No,,Bengaluru,0,
J1118,O5027,Completed,2025-07-12 04:00:00,2025-07-12 11:00:00,2025-07-12 10:33:00,Yes,J1078,Hyderabad,0,
J1119,O5412,Not_Started,2025-07-02 01:00:00,2025-07-02 12:00:00,,Yes,J1068,Bengaluru,0,
J1120,O5090,Completed,2025-07-26 00:00:00,2025-07-26 09:00:00,2025-07-26 11:11:00,Yes,J1030,Mumbai,1,Resource shortage
J1121,O5369,Completed,2025-07-19 05:00:00,2025-07-19 14:00:00,2025-07-19 14:50:00,Yes,J1014,Bengaluru,1,Dependency delay
J1122,O5166,Completed,2025-07-04 03:00:00,2025-07-04 14:00:00,2025-07-04 13:34:00,Yes,,Mumbai,0,
J1123,O5192,Not_Started,2025-07-03 07:00:00,2025-07-03 17:00:00,,Yes,,Mumbai,0,
J1124,O5455,Completed,2025-07-05 03:00:00,2025-07-05 13:00:00,2025-07-05 14:56:00,Yes,,Bengaluru,1,Equipment failure
J1125,O5069,In_Progress,2025-07-24 03:00:00,2025-07-24 14:00:00,,Yes,,Bengaluru,0,
J1126,O5138,Completed,2025-07-11 02:00:00,2025-07-11 08:00:00,2025-07-11 07:16:00,Yes,,Mumbai,0,
J1127,O5143,In_Progress,2025-07-04 07:00:00,2025-07-04 16:00:00,,Yes,,Mumbai,0,
J1128,O5389,In_Progress,2025-07-08 04:00:00,2025-07-08 14:00:00,,Yes,J1043,Pune,0,
J1129,O5295,Not_Started,2025-07-28 03:00:00,2025-07-28 09:00:00,,Yes,,Chennai,0,
J1130,O5267,In_Progress,2025-07-28 03:00:00,2025-07-28 13:00:00,,No,,Bengaluru,0,
J1131,O5236,Completed,2025-07-01 06:00:00,2025-07-01 17:00:00,2025-07-01 18:03:00,Yes,,Pune,1,Equipment failure
J1132,O5296,In_Progress,2025-07-29 02:00:00,2025-07-29 12:00:00,,Yes,,Mumbai,0,
J1133,O5213,Completed,2025-07-02 07:00:00,2025-07-02 18:00:00,2025-07-02 17:11:00,No,,Delhi,0,
J1134,O5217,Completed,2025-07-13 07:00:00,2025-07-13 19:00:00,2025-07-13 18:09:00,Yes,,Chennai,0,
J1135,O5050,In_Progress,2025-07-16 03:00:00,2025-07-16 09:00:00,,Yes,,Bengaluru,0,
J1136,O5006,In_Progress,2025-07-24 06:00:00,2025-07-24 13:00:00,,Yes,J1075,Hyderabad,0,
J1137,O5122,In_Progress,2025-07-03 00:00:00,2025-07-03 09:00:00,,Yes,,Hyderabad,0,
J1138,O5082,Completed,2025-07-15 00:00:00,2025-07-15 09:00:00,2025-07-15 10:58:00,Yes,,Hyderabad,1,Equipment failure
J1139,O5207,In_Progress,2025-07-26 05:00:00,2025-07-26 16:00:00,,Yes,,Mumbai,0,
J1140,O5324,Not_Started,2025-07-28 01:00:00,2025-07-28 10:00:00,,Yes,,Delhi,0,
J1141,O5170,Completed,2025-07-02 04:00:00,2025-07-02 13:00:00,2025-07-02 14:09:00,No,,Chennai,1,Power outage
J1142,O5406,Completed,2025-07-26 01:00:00,2025-07-26 11:00:00,2025-07-26 10:04:00,Yes,,Mumbai,0,
J1143,O5477,Completed,2025-07-17 05:00:00,2025-07-17 11:00:00,2025-07-17 10:53:00,Yes,,Delhi,0,
J1144,O5238,In_Progress,2025-07-02 05:00:00,2025-07-02 13:00:00,,No,J1143,Chennai,0,
J1145,O5360,Completed,2025-07-18 03:00:00,2025-07-18 10:00:00,2025-07-18 09:39:00,Yes,J1029,Delhi,0,
J1146,O5332,Completed,2025-07-24 03:00:00,2025-07-24 15:00:00,2025-07-24 14:13:00,Yes,,Bengaluru,0,
J1147,O5164,In_Progress,2025-07-29 04:00:00,2025-07-29 14:00:00,,Yes,,Pune,0,
J1148,O5141,Not_Started,2025-07-03 05:00:00,2025-07-03 13:00:00,,Yes,,Delhi,0,
J1149,O5256,Completed,2025-07-27 01:00:00,2025-07-27 10:00:00,2025-07-27 12:16:00,Yes,,Chennai,1,Power outage
J1150,O5231,Not_Started,2025-07-12 01:00:00,2025-07-12 08:00:00,,No,,Chennai,0,
J1151,O5234,Completed,2025-07-03 06:00:00,2025-07-03 13:00:00,2025-07-03 12:42:00,No,,Delhi,0,
J1152,O5039,Completed,2025-07-06 04:00:00,2025-07-06 10:00:00,2025-07-06 09:16:00,Yes,J1038,Delhi,0,
J1153,O5447,Completed,2025-07-17 00:00:00,2025-07-17 08:00:00,2025-07-17 07:34:00,Yes,,Mumbai,0,
J1154,O5277,Completed,2025-07-16 05:00:00,2025-07-16 14:00:00,2025-07-16 13:32:00,Yes,,Mumbai,0,
J1155,O5010,In_Progress,2025-07-07 01:00:00,2025-07-07 07:00:00,,Yes,,Pune,0,
J1156,O5118,Not_Started,2025-07-21 05:00:00,2025-07-21 14:00:00,,Yes,,Chennai,0,
J1157,O5335,Not_Started,2025-07-26 05:00:00,2025-07-26 14:00:00,,Yes,,Hyderabad,0,
J1158,O5356,Completed,2025-07-27 08:00:00,2025-07-27 17:00:00,2025-07-27 18:57:00,No,,Chennai,1,Dependency delay
J1159,O5459,In_Progress,2025-07-06 04:00:00,2025-07-06 11:00:00,,Yes,,Pune,0,
J1160,O5497,In_Progress,2025-07-25 00:00:00,2025-07-25 07:00:00,,Yes,,Pune,0,
J1161,O5233,Not_Started,2025-07-20 02:00:00,2025-07-20 13:00:00,,Yes,,Mumbai,0,
J1162,O5093,Completed,2025-07-27 02:00:00,2025-07-27 09:00:00,2025-07-27 10:00:00,Yes,J1081,Mumbai,1,Resource shortage
J1163,O5294,Completed,2025-07-15 04:00:00,2025-07-15 12:00:00,2025-07-15 11:49:00,Yes,J1008,Mumbai,0,
J1164,O5340,In_Progress,2025-07-12 02:00:00,2025-07-12 10:00:00,,Yes,,Pune,0,
J1165,O5499,Completed,2025-07-18 04:00:00,2025-07-18 10:00:00,2025-07-18 09:02:00,Yes,J1127,Mumbai,0,
J1166,O5393,In_Progress,2025-07-31 07:00:00,2025-07-31 15:00:00,,No,J1139,Mumbai,0,
J1167,O5499,Completed,2025-07-11 04:00:00,2025-07-11 13:00:00,2025-07-11 12:03:00,Yes,J1146,Chennai,0,
J1168,O5341,In_Progress,2025-07-26 07:00:00,2025-07-26 15:00:00,,Yes,,Mumbai,0,
J1169,O5374,Completed,2025-07-29 00:00:00,2025-07-29 07:00:00,2025-07-29 09:53:00,Yes,J1006,Bengaluru,1,Power outage
J1170,O5205,Completed,2025-07-27 03:00:00,2025-07-27 12:00:00,2025-07-27 13:31:00,Yes,,Chennai,1,Resource shortage
J1171,O5311,Completed,2025-07-07 08:00:00,2025-07-07 15:00:00,2025-07-07 14:10:00,Yes,,Hyderabad,0,
J1172,O5142,In_Progress,2025-07-01 01:00:00,2025-07-01 11:00:00,,Yes,,Mumbai,0,
J1173,O5346,In_Progress,2025-07-31 01:00:00,2025-07-31 11:00:00,,Yes,,Hyderabad,0,
J1174,O5251,Completed,2025-07-20 08:00:00,2025-07-20 14:00:00,2025-07-20 16:50:00,Yes,,Pune,1,Dependency delay
J1175,O5366,Completed,2025-07-12 06:00:00,2025-07-12 14:00:00,2025-07-12 14:00:00,No,J1089,Bengaluru,0,
J1176,O5157,Completed,2025-07-28 08:00:00,2025-07-28 14:00:00,2025-07-28 13:47:00,Yes,,Bengaluru,0,
J1177,O5227,In_Progress,2025-07-14 07:00:00,2025-07-14 15:00:00,,No,J1108,Hyderabad,0,
J1178,O5373,Completed,2025-07-05 01:00:00,2025-07-05 08:00:00,2025-07-05 07:47:00,No,,Bengaluru,0,
J1179,O5444,In_Progress,2025-07-11 01:00:00,2025-07-11 11:00:00,,No,,Chennai,0,
J1180,O5045,Not_Started,2025-07-14 04:00:00,2025-07-14 13:00:00,,Yes,J1118,Delhi,0,
J1181,O5363,In_Progress,2025-07-25 02:00:00,2025-07-25 09:00:00,,No,J1097,Chennai,0,
J1182,O5148,Completed,2025-07-16 00:00:00,2025-07-16 12:00:00,2025-07-16 11:08:00,Yes,,Chennai,0,
J1183,O5299,Completed,2025-07-16 08:00:00,2025-07-16 19:00:00,2025-07-16 18:31:00,Yes,J1000,Pune,0,
J1184,O5078,In_Progress,2025-07-10 07:00:00,2025-07-10 13:00:00,,Yes,,Pune,0,
J1185,O5457,Completed,2025-07-14 02:00:00,2025-07-14 11:00:00,2025-07-14 10:02:00,Yes,,Pune,0,
J1186,O5125,Not_Started,2025-07-04 04:00:00,2025-07-04 13:00:00,,No,,Delhi,0,
J1187,O5034,Not_Started,2025-07-24 05:00:00,2025-07-24 15:00:00,,Yes,,Chennai,0,
J1188,O5223,Completed,2025-07-21 07:00:00,2025-07-21 18:00:00,2025-07-21 17:08:00,Yes,J1131,Pune,0,
J1189,O5375,Completed,2025-07-01 04:00:00,2025-07-01 11:00:00,2025-07-01 10:23:00,Yes,J1081,Chennai,0,
J1190,O5236,Completed,2025-07-05 05:00:00,2025-07-05 12:00:00,2025-07-05 12:13:00,Yes,,Hyderabad,1,Dependency delay
J1191,O5325,Completed,2025-07-02 04:00:00,2025-07-02 12:00:00,2025-07-02 11:27:00,Yes,,Pune,0,
J1192,O5039,Completed,2025-07-07 02:00:00,2025-07-07 14:00:00,2025-07-07 13:54:00,Yes,,Chennai,0,
J1193,O5085,Not_Started,2025-07-11 05:00:00,2025-07-11 17:00:00,,No,,Chennai,0,
J1194,O5409,Not_Started,2025-07-09 05:00:00,2025-07-09 11:00:00,,Yes,,Pune,0,
J1195,O5180,In_Progress,2025-07-01 02:00:00,2025-07-01 12:00:00,,No,J1124,Mumbai,0,
J1196,O5210,Completed,2025-07-30 02:00:00,2025-07-30 08:00:00,2025-07-30 07:47:00,Yes,J1056,Pune,0,
J1197,O5425,Completed,2025-07-26 08:00:00,2025-07-26 18:00:00,2025-07-26 17:16:00,No,,Mumbai,0,
J1198,O5269,Completed,2025-07-23 08:00:00,2025-07-23 19:00:00,2025-07-23 19:29:00,Yes,,Chennai,1,Traffic
J1199,O5039,Not_Started,2025-07-27 02:00:00,2025-07-27 08:00:00,,Yes,,Delhi,0,
J1200,O5159,In_Progress,2025-07-12 02:00:00,2025-07-12 14:00:00,,Yes,,Hyderabad,0,
J1201,O5305,In_Progress,2025-07-25 05:00:00,2025-07-25 12:00:00,,Yes,,Chennai,0,
J1202,O5014,In_Progress,2025-07-27 01:00:00,2025-07-27 08:00:00,,Yes,J1177,Hyderabad,0,
J1203,O5072,In_Progress,2025-07-08 04:00:00,2025-07-08 11:00:00,,Yes,J1020,Hyderabad,0,
J1204,O5217,Completed,2025-07-25 01:00:00,2025-07-25 07:00:00,2025-07-25 07:04:00,Yes,,Hyderabad,1,Traffic
J1205,O5021,Completed,2025-07-04 00:00:00,2025-07-04 12:00:00,2025-07-04 11:18:00,Yes,,Mumbai,0,
J1206,O5030,In_Progress,2025-07-04 04:00:00,2025-07-04 10:00:00,,No,J1170,Bengaluru,0,
J1207,O5005,Completed,2025-07-26 01:00:00,2025-07-26 11:00:00,2025-07-26 10:47:00,Yes,,Delhi,0,
J1208,O5102,Not_Started,2025-07-22 05:00:00,2025-07-22 11:00:00,,Yes,J1191,Mumbai,0,
J1209,O5482,Completed,2025-07-31 05:00:00,2025-07-31 13:00:00,2025-07-31 13:41:00,Yes,,Pune,1,Power outage
J1210,O5313,In_Progress,2025-07-17 01:00:00,2025-07-17 07:00:00,,Yes,,Mumbai,0,
J1211,O5390,Completed,2025-07-17 03:00:00,2025-07-17 14:00:00,2025-07-17 14:49:00,Yes,J1193,Delhi,1,Dependency delay
J1212,O5275,Not_Started,2025-07-24 01:00:00,2025-07-24 08:00:00,,No,,Delhi,0,
J1213,O5435,Not_Started,2025-07-16 05:00:00,2025-07-16 16:00:00,,Yes,,Hyderabad,0,
J1214,O5225,Completed,2025-07-31 01:00:00,2025-07-31 08:00:00,2025-07-31 07:07:00,Yes,,Hyderabad,0,
J1215,O5194,In_Progress,2025-07-07 08:00:00,2025-07-07 15:00:00,,Yes,,Bengaluru,0,
J1216,O5389,In_Progress,2025-07-04 07:00:00,2025-07-04 13:00:00,,Yes,,Pune,0,
J1217,O5253,In_Progress,2025-07-23 04:00:00,2025-07-23 14:00:00,,Yes,,Pune,0,
J1218,O5042,In_Progress,2025-07-16 01:00:00,2025-07-16 10:00:00,,Yes,J1153,Pune,0,
J1219,O5376,Completed,2025-07-22 07:00:00,2025-07-22 14:00:00,2025-07-22 13:25:00,Yes,,Pune,0,
J1220,O5437,Not_Started,2025-07-07 01:00:00,2025-07-07 13:00:00,,No,,Bengaluru,0,
J1221,O5480,In_Progress,2025-07-12 02:00:00,2025-07-12 08:00:00,,Yes,,Hyderabad,0,
J1222,O5251,Completed,2025-07-04 06:00:00,2025-07-04 15:00:00,2025-07-04 14:27:00,Yes,,Hyderabad,0,
J1223,O5043,In_Progress,2025-07-05 06:00:00,2025-07-05 15:00:00,,Yes,,Delhi,0,
J1224,O5500,Completed,2025-07-24 02:00:00,2025-07-24 08:00:00,2025-07-24 09:33:00,Yes,,Delhi,1,Equipment failure
